id,user_id,item_id,collected_at
3eaf6899-cb88-4285-8c96-4e9f424c62d1,c07b25a1-6eee-40e4-a82f-8e136adc370a,9ed609eb-cc00-49c6-b986-6de82b0f5c24,2025-10-28 21:54:16.72023+00
4246ba78-28ba-4f0d-81c8-10cdf92b0fea,3412d139-66a7-49da-88c3-ff2e901b5939,a763bd49-da93-4e46-b658-b7b39d482682,2025-10-21 21:55:46.935367+00
438c7d39-d7e1-4e09-bdda-fefde9c05086,479ab18e-0df5-418a-86fd-6ffc4791250a,47a54694-9147-4346-b93e-3c448c379417,2025-09-07 01:35:30.461926+00
48e042bd-4d2c-432d-9833-5e47418e4b8c,479ab18e-0df5-418a-86fd-6ffc4791250a,766d6fec-bf7d-4726-9bcd-e113b0f42b14,2025-10-21 23:53:54.14493+00
4ed88206-926a-49f5-89bd-e09c1a643e82,479ab18e-0df5-418a-86fd-6ffc4791250a,54260f07-63d2-43c5-9697-808000ecb6e2,2025-09-07 02:44:06.835066+00
4f493ea8-5bc8-4b93-bd0a-09fb7e0fd33a,479ab18e-0df5-418a-86fd-6ffc4791250a,41005bb2-228d-4acd-9f9a-dd00ee102398,2025-09-07 02:44:10.411248+00
531daad4-562c-4cac-8f56-db935e0d35eb,479ab18e-0df5-418a-86fd-6ffc4791250a,49988111-3114-4eea-964f-458e8d62df37,2025-09-07 01:31:06.152929+00
536dcd0f-1140-4b87-94c1-5e8962a189e8,479ab18e-0df5-418a-86fd-6ffc4791250a,64c7bbd6-21b1-45d2-8fec-f44c30296d52,2025-09-07 02:19:28.6657+00
5e50ea2b-cd77-41ee-91d8-046dbea20f94,479ab18e-0df5-418a-86fd-6ffc4791250a,b243fcff-a7f1-4f0c-8bfc-82bd2b5a05fe,2025-09-07 02:09:37.862378+00
6781afad-81f0-4ebe-93a2-2009d323017c,479ab18e-0df5-418a-86fd-6ffc4791250a,a813369a-44b8-49d7-a8cb-6294ff88fa48,2025-10-21 23:54:00.602004+00
6b54340d-6606-4c37-9034-5c8c9b67f57e,479ab18e-0df5-418a-86fd-6ffc4791250a,5945c427-4477-4b6d-b15f-00a56b9b586c,2025-10-21 21:59:46.947177+00
6d9849b3-c5b5-4fb7-a547-4c78f978366c,479ab18e-0df5-418a-86fd-6ffc4791250a,c5ec4900-f43a-46b6-a185-5be86f491d99,2025-10-24 22:05:57.374072+00
7639fd8b-4bf6-4d67-bb00-264b95ab2609,fa887657-c7b7-48f6-b6c7-d90c018cf9b0,7b86d953-0b93-4436-97b1-5cd7badebc9d,2025-09-21 19:00:43.835344+00
7708be05-2d29-45a9-a7ad-d3014cd2607e,479ab18e-0df5-418a-86fd-6ffc4791250a,4affd690-90c3-4323-8580-63d76b16c609,2025-09-07 01:31:10.53511+00
83fc5cf1-9acf-4e14-ae0d-0e32a449476a,479ab18e-0df5-418a-86fd-6ffc4791250a,942ea2f1-8f2f-4b58-93de-2d4a703e34be,2025-09-07 02:32:09.239916+00
883789a0-2942-4804-bd23-39a87394623d,479ab18e-0df5-418a-86fd-6ffc4791250a,d49c7d87-dae2-42b9-978a-f811fcae1b45,2025-09-07 02:21:05.492096+00
8e683da3-2cdc-477c-a0c8-1bb8904217dc,479ab18e-0df5-418a-86fd-6ffc4791250a,5b609f37-800d-41d2-a104-98f98706c465,2025-09-07 20:36:01.989675+00
a3d72643-c08a-426a-af5a-d437210a2b30,479ab18e-0df5-418a-86fd-6ffc4791250a,a6ea2592-bb36-4f72-9934-1da0f9d34012,2025-09-07 16:01:21.748316+00
a4257a96-5579-4665-8c53-6b6e2b1d8a63,479ab18e-0df5-418a-86fd-6ffc4791250a,cc8fe85d-78dd-4232-96e0-d2f5e263e181,2025-09-12 13:48:12.830309+00
bec14bb6-d343-4ff8-8e73-81ac54d2a655,fa887657-c7b7-48f6-b6c7-d90c018cf9b0,8a784714-8584-43e8-a8c5-2141cede14bc,2025-10-28 21:54:42.218019+00
bf2f24e9-d7a0-413b-ad03-cc91a76a260d,479ab18e-0df5-418a-86fd-6ffc4791250a,f1bb49e2-4dc7-4ba2-b95b-812736fa3f74,2025-10-28 22:04:04.018724+00
c17f9643-4d79-4a13-a401-b6b5e117a518,3412d139-66a7-49da-88c3-ff2e901b5939,c0da8ed8-41bf-4894-aec1-2246f0cae814,2025-10-28 21:55:06.849272+00
c1d6e568-e722-4f90-b073-e51abf505687,479ab18e-0df5-418a-86fd-6ffc4791250a,8baf29b6-ef2d-4b03-9c3b-be2ceb33f8f4,2025-10-28 22:03:35.189428+00
c35b34f3-3206-4764-ab07-745e27b015cb,479ab18e-0df5-418a-86fd-6ffc4791250a,3d5c0a94-9000-438f-be6d-a94ee0acedd1,2025-09-07 12:19:41.432828+00
c4047d69-e0e4-4437-b5e3-009d1f78b4e5,479ab18e-0df5-418a-86fd-6ffc4791250a,8c39f178-111c-4123-93cf-59d38bc2fa0c,2025-09-07 19:04:32.937615+00
cc331bfb-b085-4e0d-8791-d21efe935bf9,479ab18e-0df5-418a-86fd-6ffc4791250a,325f907b-8e5d-4ef8-bb71-20e4435918a9,2025-10-21 21:46:34.60506+00
d8c97618-c31b-49ff-a807-7e9a5a476a4e,479ab18e-0df5-418a-86fd-6ffc4791250a,a7c6965d-9295-48b3-b869-823df0718f09,2025-10-21 23:54:06.619789+00
da47ab28-be73-417b-8d72-96ef13063985,c07b25a1-6eee-40e4-a82f-8e136adc370a,db7a04bc-e9b6-41d6-8282-50679b7b94d0,2025-09-11 00:05:10.383103+00
e9718d47-0f8c-484d-8954-f5c295d9c7c9,479ab18e-0df5-418a-86fd-6ffc4791250a,bf0c70e2-0d37-42d3-9e07-3b549f098f75,2025-10-28 22:03:52.255361+00
ed5ded73-4f40-4d1b-9cc8-4b069e5181e6,479ab18e-0df5-418a-86fd-6ffc4791250a,b35dd2a0-0eb1-4709-af67-d6d2d435b77a,2025-10-21 23:54:14.988598+00
f3e067b9-9224-4e6d-bb41-c7ab48277348,3412d139-66a7-49da-88c3-ff2e901b5939,0b9b5897-9ce9-489e-a2bd-de9c4519c5e8,2025-10-21 21:54:08.169379+00
f5155993-51f4-4c84-8bd3-f7b4faee1928,479ab18e-0df5-418a-86fd-6ffc4791250a,4593e262-c884-4d14-b7f5-a7684cb8dd2e,2025-09-07 22:34:42.976339+00
f70aa7f3-3366-46fc-9699-831424a0e2bb,479ab18e-0df5-418a-86fd-6ffc4791250a,f47e19a6-a624-4438-92a2-e57c73b80ba8,2025-09-12 13:42:53.295008+00
fdc41871-70b9-4c83-a56f-75e2eda983c5,479ab18e-0df5-418a-86fd-6ffc4791250a,2f19225c-9c89-4a91-9acb-4632750e5318,2025-10-21 21:59:40.412185+00
